 0.000000E+00   1     0.195000 0.004000  17.10 130.00  10.00 196.00
 0.000000E+00   2     0.503000 0.110000  16.90  46.00  54.00 204.00
 0.000000E+00   3     0.784000 0.015000  17.50 302.00 125.00  36.00
 0.000000E+00   4     1.870000 0.180000  17.40 254.00  88.00  85.00
-1.000000E+03   1     0.195000 0.004036  16.99 130.77  10.38 248.37
-1.000000E+03   2     0.502998 0.108460  16.62  47.82  50.71 123.37
-1.000000E+03   3     0.783990 0.016297  17.41 302.90 126.33 359.19
-1.000000E+03   4     1.870001 0.180001  17.42 254.06  87.86   8.51
-2.000000E+03   1     0.195000 0.004090  16.89 131.53  10.69 300.81
-2.000000E+03   2     0.503000 0.107140  16.35  49.67  47.32  42.78
-2.000000E+03   3     0.783997 0.017653  17.31 303.82 127.27 322.76
-2.000000E+03   4     1.869960 0.179981  17.44 254.12  87.72 292.02
-3.000000E+03   1     0.195000 0.004163  16.78 132.30  10.88 353.39
-3.000000E+03   2     0.503003 0.106056  16.07  51.54  43.84 322.30
-3.000000E+03   3     0.784000 0.018924  17.21 304.76 127.68 286.82
-3.000000E+03   4     1.869957 0.179980  17.47 254.18  87.57 215.54
-4.000000E+03   1     0.195000 0.004257  16.68 133.05  10.95  46.09
-4.000000E+03   2     0.503009 0.105220  15.80  53.43  40.29 241.85
-4.000000E+03   3     0.783995 0.020201  17.10 305.71 128.00 250.95
-4.000000E+03   4     1.869953 0.179974  17.49 254.24  87.42 139.05
-5.000000E+03   1     0.195000 0.004367  16.58 133.81  10.93  98.90
-5.000000E+03   2     0.503009 0.104641  15.54  55.36  36.67 161.43
-5.000000E+03   3     0.783994 0.021388  16.99 306.68 128.22 215.15
-5.000000E+03   4     1.869954 0.179953  17.51 254.30  87.28  62.57
-6.000000E+03   1     0.195000 0.004497  16.48 134.56  10.78 151.85
-6.000000E+03   2     0.503009 0.104310  15.27  57.30  33.00  81.06
-6.000000E+03   3     0.783980 0.022586  16.87 307.67 128.10 179.67
-6.000000E+03   4     1.869995 0.179947  17.53 254.37  87.13 346.08
-7.000000E+03   1     0.195000 0.004646  16.39 135.30  10.54 204.90
-7.000000E+03   2     0.503013 0.104219  15.01  59.28  29.30   0.67
-7.000000E+03   3     0.783980 0.023671  16.74 308.68 127.84 144.31
-7.000000E+03   4     1.869993 0.179924  17.55 254.43  86.98 269.59
-8.000000E+03   1     0.195000 0.004811  16.29 136.04  10.19 258.09
-8.000000E+03   2     0.503016 0.104370  14.75  61.29  25.57 280.30
-8.000000E+03   3     0.783971 0.024790  16.60 309.71 127.42 109.07
-8.000000E+03   4     1.869987 0.179911  17.57 254.50  86.84 193.10
-9.000000E+03   1     0.195000 0.004999  16.20 136.78   9.72 311.39
-9.000000E+03   2     0.503016 0.104758  14.50  63.34  21.84 199.90
-9.000000E+03   3     0.783971 0.025832  16.46 310.76 127.01  73.79
-9.000000E+03   4     1.869995 0.179897  17.60 254.57  86.69 116.61
-1.000000E+04   1     0.195000 0.005203  16.11 137.51   9.18   4.78
-1.000000E+04   2     0.503017 0.105368  14.25  65.41  18.11 119.45
-1.000000E+04   3     0.783971 0.026768  16.32 311.83 126.37  38.73
-1.000000E+04   4     1.869974 0.179886  17.62 254.64  86.54  40.12
-1.100000E+04   1     0.195000 0.005427  16.02 138.24   8.54  58.28
-1.100000E+04   2     0.503018 0.106198  14.00  67.53  14.39  38.98
-1.100000E+04   3     0.783979 0.027730  16.17 312.93 125.70   3.64
-1.100000E+04   4     1.869946 0.179868  17.64 254.71  86.39 323.63
-1.200000E+04   1     0.195000 0.005672  15.94 138.96   7.86 111.84
-1.200000E+04   2     0.503019 0.107217  13.76  69.68  10.70 318.43
-1.200000E+04   3     0.783977 0.028626  16.01 314.05 124.80 328.77
-1.200000E+04   4     1.869952 0.179872  17.66 254.79  86.24 247.15
-1.300000E+04   1     0.195000 0.005934  15.85 139.68   7.10 165.49
-1.300000E+04   2     0.503018 0.108413  13.52  71.87   7.04 237.83
-1.300000E+04   3     0.783976 0.029481  15.85 315.19 123.96 293.79
-1.300000E+04   4     1.869951 0.179865  17.68 254.86  86.08 170.66
-1.400000E+04   1     0.195000 0.006217  15.77 140.39   6.29 219.20
-1.400000E+04   2     0.503017 0.109777  13.28  74.10   3.42 157.16
-1.400000E+04   3     0.783971 0.030228  15.68 316.35 123.02 258.88
-1.400000E+04   4     1.869968 0.179840  17.70 254.94  85.93  94.17
-1.500000E+04   1     0.195000 0.006518  15.69 141.09   5.44 272.96
-1.500000E+04   2     0.503018 0.111282  13.05  76.37 359.83  76.41
-1.500000E+04   3     0.783958 0.031015  15.50 317.55 121.95 224.07
-1.500000E+04   4     1.869994 0.179828  17.72 255.02  85.77  17.68
-1.600000E+04   1     0.195000 0.006840  15.62 141.79   4.54 326.79
-1.600000E+04   2     0.503018 0.112923  12.83  78.68 356.28 355.59
-1.600000E+04   3     0.783973 0.031691  15.33 318.77 120.79 189.31
-1.600000E+04   4     1.869994 0.179809  17.74 255.09  85.62 301.20
-1.700000E+04   1     0.195000 0.007183  15.54 142.48   3.64  20.64
-1.700000E+04   2     0.503014 0.114659  12.61  81.04 352.77 274.69
-1.700000E+04   3     0.783975 0.032380  15.14 320.02 119.59 154.54
-1.700000E+04   4     1.869996 0.179786  17.76 255.18  85.46 224.71
-1.800000E+04   1     0.195000 0.007544  15.47 143.17   2.70  74.53
-1.800000E+04   2     0.503013 0.116486  12.39  83.45 349.31 193.71
-1.800000E+04   3     0.783980 0.032949  14.96 321.30 118.33 119.81
